                                   Tema                                                                                                                                                                                                            Iniciativa  TOTAL
0                 2 Governança e Gestão                                                              Promover rodadas de escuta e alinhamento estratégico periódico entre as diretorias e as unidades operacionais, com pauta vinculada ao plano estratégico.     64
1                 2 Governança e Gestão                                                                                                                               Adotar nova ferramenta tecnológica de gestão estratégica, em substituição ao atual SGE.     64
2                 2 Governança e Gestão                                                                                       Reformular a metodologia de monitoramento e avaliação estratégica do CBMAL, incluindo a revisão dos indicadores institucionais.     36
3                 2 Governança e Gestão                                                                                                       Promover ações de comunicação e endomarketing visando a difusão da cultura de gestão estratégica na corporação.     27
4                 2 Governança e Gestão  Implementar mecanismos de responsabilização institucional (accountability) pelas entregas estratégicas, definindo atribuições e implicações pela execução (ou não) das metas, projetos e ações dos Planos de Gestão.     27
5                 2 Governança e Gestão                                                                                                                    Desenvolver metodologia de auditoria interna estratégica, com critérios padronizados de avaliação.     18
6                 2 Governança e Gestão                                                                                                       Desenvolver dashboards visuais de monitoramento estratégico, com atualização periódica e acessível aos setores.     18
7                 2 Governança e Gestão                                                                Instituir práticas de melhoria contínua da gestão estratégica, como o registro de lições aprendidas e plano de melhorias para o exercício subsequente.     12
8                 2 Governança e Gestão                                                                               Aprimorar o processo de validação de novas iniciativas estratégicas, garantindo alinhamento prévio com objetivos estratégicos do CBMAL.      8
9   8 Arrecadação, Orçamento e Finanças                                                           Estabelecer metodologia de alocação orçamentária vinculada ao planejamento estratégico, assegurando recursos para as iniciativas estratégicas prioritárias.      8
10                2 Governança e Gestão                                                                                                             Estabelecer as metas estratégicas do CBMAL para 2029, com indicadores validados e critérios padronizados.      4
